k,method,condition,layer,MSE,RMSE,MAE,MAPE,R2,Precision_at_K,MRR
30,Mean_Pooling,whitened,8,87.85301377464737,9.372993853334556,4.843358139607149,11.628000305332096,0.8006905894897515,0.03333333333333333,0.08550153081208982
30,Lagged_CKA,whitened,8,85.64468288229602,9.254441251761017,4.757766708360678,11.755403939407921,0.8057005613672688,0.06666666666666667,0.1259913732518097
30,Soft_DTW_g1.0,whitened,8,93.24907883777588,9.656556261824186,5.023586757507988,12.446102095148923,0.7884487038605819,0.1,0.11705182072829132
30,Mean_Pooling,raw,10,84.89029336945602,9.213592858893648,4.638777393556323,11.662554046927019,0.8074120214827399,0.06666666666666667,0.09040978093365006
30,Lagged_CKA,raw,10,88.3251578724975,9.398146512610744,4.83497685628095,11.969255915654895,0.7996194508028103,0.16666666666666666,0.112987012987013
30,Soft_DTW_g1.0,raw,10,92.58171057273695,9.621939023540783,4.950972454539855,12.524426689904999,0.7899627415672376,0.06666666666666667,0.12866286537382882
30,Mean_Pooling,whitened,10,90.5146579799854,9.513919170351691,4.809223191937029,11.810697491109318,0.794652199743502,0.06666666666666667,0.03693085930024183
30,Lagged_CKA,whitened,10,93.22203395896304,9.655155822614311,5.321592918832559,13.476037137534869,0.7885100597392469,0.06666666666666667,0.13417888563049854
30,Soft_DTW_g1.0,whitened,10,95.1467866539547,9.7543214348285,5.177248607941325,12.99295361850026,0.7841434329323301,0.1,0.09956349206349205
30,Lasso,N/A,N/A,84.03978688690172,9.167321685579804,4.632033333933574,11.86006116912816,0.8093415391895299,0.1,0.22730846930846932
30,RF,N/A,N/A,91.23786787255244,9.551851541588805,4.949900324875364,12.200019450002737,0.7930114758665447,0.13333333333333333,0.26035714285714284
30,Pearson,N/A,N/A,93.9902454700173,9.694856650307797,5.4244739928367,13.010803149956459,0.7867672420846566,0.1,0.13704255094498996
